"SourceKey","TargetKey","SourceCommentId","Author","Created","Error","ErrorDetails","SourceURL","TargetURL"
"CAD-4032","CAD1-428","520121","Chris Rumans","10/15/2025 9:39:34 AM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-4032","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-428"
"CAD-3690","CAD1-365","513649","Chris Rumans","9/30/2025 9:28:35 AM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-3690","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-365"
"CAD-3833","CAD1-513","504332","Chris Rumans","9/2/2025 11:40:52 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-3833","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-513"
"CAD-3625","CAD1-479","503109","Baliram Maurya","8/28/2025 11:49:01 AM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-3625","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-479"
"CAD-3628","CAD1-478","504237","Baliram Maurya","9/2/2025 3:41:07 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-3628","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-478"
"CAD-3644","CAD1-468","504330","Chris Rumans","9/2/2025 11:35:17 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-3644","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-468"
"CAD-2271","CAD1-467","438086","Heath Fest","4/2/2025 11:07:44 AM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-2271","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-467"
"CAD-2274","CAD1-466","379253","Heath Fest","2/17/2025 11:19:17 AM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-2274","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-466"
"CAD-2863","CAD1-282","435201","Heath Fest","3/25/2025 8:06:10 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-2863","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-282"
"CAD-2872","CAD1-283","437615","Heath Fest","4/1/2025 10:38:12 AM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-2872","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-283"
"CAD-1604","CAD1-263","318745","Ravi Nachimuthu","6/5/2024 3:57:22 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-1604","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-263"
"CAD-1604","CAD1-263","339334","Allen Truban","8/27/2024 10:18:39 AM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/CAD-1604","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-263"
